przedzial,poni¿ej ilu m,,procent,skumulowany
0-100m,100,141852.9669,0.241309849,0.241309849
100-200m,200,211387.819,0.359597432,0.600907282
200-300m,300,115525.7979,0.196524003,0.797431284
300-400m,400,47736.94806,0.08120659,0.878637874
400-500m,500,25634.23195,0.043607073,0.922244947
500-600m,600,15754.69309,0.026800727,0.949045674
600-700m,700,9612.610024,0.016352266,0.96539794
700-800m,800,6742.25871,0.011469435,0.976867375
800-900m,900,4490.035093,0.007638118,0.984505493
900-1000m,1000,2558.375217,0.00435212,0.988857613
1000-1100m,1100,1659.618373,0.002823221,0.991680834
1100-1200m,1200,1275.660927,0.002170061,0.993850895
1200-1300m,1300,943.440977,0.001604912,0.995455807
1300-1400m,1400,693.0862255,0.001179027,0.996634835
1400-1500m,1500,528.4179459,0.000898906,0.99753374
1500-1600m,1600,374.1000514,0.000636392,0.998170132
1600-1700m,1700,277.0411419,0.000471282,0.998641414
1700-1800m,1800,239.4680894,0.000407366,0.99904878
1800-1900m,1900,198.3503185,0.000337419,0.999386199
1900-2000m,2000,123.8102303,0.000210617,0.999596815
2000-2100m,2100,111.1872814,0.000189144,0.999785959
2100-2200m,2200,56.28743397,9.58E-05,0.999881711
2200-2300m,2300,33.74456436,5.74E-05,0.999939115
2300-2400m,2400,26.89320576,4.57E-05,0.999984864
2400-2500m,2500,7.334729283,1.25E-05,0.999997341
2500-2600m,2600,1.563139027,2.66E-06,1
